"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","3324","2924","2856","1740","1636","1556","1516","1440","1376","1324","1268","1036","996","832"
"56","2025","2025","GH","Pmu","cul","E","UV","42","1","1","0.858612273731914","2.6550420767336","1.39101889905877","0.00154536571033223","1.27721486700395","0.212457904698862","0.212457904698862","1.15019264339474","0.842596303069569","1.07804675222245","1.28750751903037","3.1839161819292","3.05421078193087","0.246876310098783"
"57","2025","2025","GH","Pmu","cul","E","UV","42","1","2","0.854337042141254","2.64879731469325","1.38222038620177","0.0048344219441259","1.28649147050101","-0.191598031485398","0.20945840285018","1.14211863683908","0.83981451428936","1.063320585075","1.26218089708477","3.23065101626243","3.11931844081898","0.194887699421982"
"58","2025","2025","GH","Pmu","cul","E","UV","42","1","3","0.858183608101206","2.64246630496692","1.38539376213113","-0.00693618001670701","1.29341556854533","0.219702837554897","0.219702837554897","1.15547623384244","0.844713752901294","1.07154966273798","1.27470182733676","3.19782576540477","3.1051910031943","0.194342308904521"
"59","2025","2025","GH","Pmu","cul","E","UV","43","1","1","0.811225256863908","2.46136900290693","1.28366276379587","-0.129202997208173","1.23758243377861","-0.227580208861115","0.178955882020529","1.12317452232952","0.83463778718733","1.07527734329695","1.21859793369741","3.46269563458675","3.27881697287827","0.161465669015398"
"60","2025","2025","GH","Pmu","cul","E","UV","43","1","2","0.811917171508478","2.46930806573136","1.29435862696439","-0.147662730777765","1.22838513116074","-0.254096108395387","0.174606866796864","1.11756778455504","0.828563450168971","1.08040108387419","1.23127811239904","3.45336251274679","3.27122363260413","0.183315065192476"
"61","2025","2025","GH","Pmu","cul","E","UV","43","1","3","0.784250731752939","2.48250689258783","1.2959906338153","-0.145979957117334","1.19260933623955","-0.284516986360863","0.165187223120161","1.13001044327391","0.830445976349882","1.10587008937513","1.26370267430161","3.41012319596342","3.23445310415934","0.239016934152868"
"62","2025","2025","GH","Pmu","cul","E","UV","44","1","1","0.985988556379683","2.39618555341212","1.20716116264227","-0.0588638394632297","1.54178122945528","0.0575993534664117","0.293234539070292","1.15245923250545","0.891731328357228","1.02243522561398","1.12328241644706","3.23236462016152","3.09808088636954","0.0130085056463198"
"63","2025","2025","GH","Pmu","cul","E","UV","44","1","2","0.958093798338474","2.53167108392096","1.29201911544271","-0.032882949975026","1.427337141062","-0.0912708087492412","0.241650384831944","1.16551676403768","0.871287556180091","1.06838863412406","1.19031445426119","3.20819880936066","3.03388684539001","0.0894069577702249"
"64","2025","2025","GH","Pmu","cul","E","UV","44","1","3","1.0635774065771","2.32274968977502","1.15265846405295","-0.0702538141145524","1.61984457911293","0.14858222048163","0.340832130516376","1.14522640416729","0.896456093377001","1.00176102385091","1.08501072505453","3.16580756060288","3.06426109022959","-0.00409426790509025"
"65","2025","2025","GH","Pmu","cul","F","CON","60","1","1","1.16450759060692","2.26618829888838","1.0844305451727","-0.11084559296097","1.58069832130644","0.0364817145469608","0.256448762572504","1.102636688684","0.810947005030706","0.958938047347661","1.07981257694157","3.11043792993241","3.02900451105877","0.0608802285672953"
"66","2025","2025","GH","Pmu","cul","F","CON","60","1","2","1.22618972087409","2.18503186407937","1.026394285861","-0.160832183455601","1.59528617987313","0.0436246436527977","0.233235307235475","1.07845687527388","0.794081510269401","0.937695284931595","1.05433013118144","3.05857069183116","2.98523444539247","0.0552453094168864"
"67","2025","2025","GH","Pmu","cul","F","CON","60","1","3","1.13964864700133","2.30293953591907","1.11302506394609","-0.121102160282261","1.53478500295943","-0.0388809016916636","0.227862288317198","1.12639169849124","0.837229775987685","1.00336539267555","1.15225924743739","3.05195840803136","2.94631310882575","0.0852797991228605"
"68","2025","2025","GH","Pmu","cul","F","UV","52","1","1","1.01031228561592","2.35955932176616","1.16928168645846","-0.084458173654993","1.47816261768916","-0.0289977968996457","0.249407211886649","1.12797990247147","0.846131800238255","1.00710202949874","1.14983697784711","3.27333642755167","3.12960016179061","0.0551578073771918"
"69","2025","2025","GH","Pmu","cul","F","UV","52","1","2","1.07916253394969","2.2778581921647","1.11351988260328","-0.088783628940338","1.52098871019784","0.0309942545953604","0.231865219824176","1.07688090719168","0.813867854413344","0.916369971386288","1.05256300436305","3.35224433250773","3.24762665828222","-0.0668681690642994"
"70","2025","2025","GH","Pmu","cul","F","UV","52","1","3","1.07982537736286","2.33178833766224","1.13884702067144","-0.0887173656709766","1.46461188969628","-0.0395969466566207","0.199915547437457","1.06554711082216","0.801518054042113","0.929984249288492","1.0666273051123","3.37623009586753","3.2419684514968","-0.017162574772809"
"71","2025","2025","GH","Pmu","cul","F","UV","53","1","1","0.823902445680882","2.57925825347135","1.36686785309678","-0.0613165465290419","1.29797936263351","0.21146016837919","0.21146016837919","1.1880124775076","0.871625860058462","1.11982062549451","1.28014643992903","3.22060489859551","3.10807172002654","0.205683187534959"
"72","2025","2025","GH","Pmu","cul","F","UV","53","1","2","0.825797297768162","2.63023266017402","1.39556530136054","-0.0874946300419131","1.26551529397724","0.183103850114132","0.183103850114132","1.18924289994816","0.871697216386898","1.13827669342873","1.31227365615036","3.17834668991974","3.04303062510241","0.253278390185431"
