"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio"
"177",2025,2025,"GH","Pmu","cut","C","UV",2,"a",1,0.4530167,0.4666965,0.020133875,700,706,0.0084985835694051
"178",2025,2025,"GH","Pmu","cut","C","UV",2,"a",2,0.4530134,0.4666965,0.020133875,700,706,0.0084985835694051
"179",2025,2025,"GH","Pmu","cut","C","UV",2,"a",3,0.446399,0.4666965,0.020133875,700,706,0.0084985835694051
"180",2025,2025,"GH","Pmu","cut","C","UV",2,"b",1,0.4441339,0.5205164,0.109887885,732,740,0.0108108108108108
"181",2025,2025,"GH","Pmu","cut","C","UV",2,"b",2,0.4503323,0.5205164,0.109887885,732,740,0.0108108108108108
"182",2025,2025,"GH","Pmu","cut","C","UV",2,"b",3,0.4540019,0.5205164,0.109887885,732,740,0.0108108108108108
"183",2025,2025,"GH","Pmu","cut","C","UV",3,"a",1,0.3183497,0.3185826,0.038826963,581,603,0.0364842454394693
"184",2025,2025,"GH","Pmu","cut","C","UV",3,"a",2,0.3380643,0.3185826,0.038826963,581,603,0.0364842454394693
"185",2025,2025,"GH","Pmu","cut","C","UV",3,"a",3,0.3291377,0.3185826,0.038826963,581,603,0.0364842454394693
"186",2025,2025,"GH","Pmu","cut","C","UV",3,"b",1,0.3602112,0.348069,0.055391783,330,502,0.342629482071713
"187",2025,2025,"GH","Pmu","cut","C","UV",3,"b",2,0.3489373,0.348069,0.055391783,330,502,0.342629482071713
"188",2025,2025,"GH","Pmu","cut","C","UV",3,"b",3,0.3365959,0.348069,0.055391783,330,502,0.342629482071713
"189",2025,2025,"GH","Pmu","cut","C","CON",2,"a",1,0.444997,0.4328131,0.009541698,585,596,0.0184563758389262
"190",2025,2025,"GH","Pmu","cut","C","CON",2,"a",2,0.4263445,0.4328131,0.009541698,585,596,0.0184563758389262
"191",2025,2025,"GH","Pmu","cut","C","CON",2,"a",3,0.4515061,0.4328131,0.009541698,585,596,0.0184563758389262
"192",2025,2025,"GH","Pmu","cut","C","CON",2,"b",1,0.4156567,0.4190001,0.023058308,628,630,0.00317460317460317
"193",2025,2025,"GH","Pmu","cut","C","CON",2,"b",2,0.4446017,0.4190001,0.023058308,628,630,0.00317460317460317
"194",2025,2025,"GH","Pmu","cut","C","CON",2,"b",3,0.4298957,0.4190001,0.023058308,628,630,0.00317460317460317
"195",2025,2025,"GH","Pmu","cut","C","CON",3,"a",1,0.2485042,0.325629,0.036217325,580,588,0.0136054421768707
"196",2025,2025,"GH","Pmu","cut","C","CON",3,"a",2,0.2571491,0.325629,0.036217325,580,588,0.0136054421768707
"197",2025,2025,"GH","Pmu","cut","C","CON",3,"a",3,0.27786,0.325629,0.036217325,580,588,0.0136054421768707
"198",2025,2025,"GH","Pmu","cut","C","CON",4,"a",1,0.4823062,0.4397286,0.033138878,546,555,0.0162162162162162
"199",2025,2025,"GH","Pmu","cut","C","CON",4,"a",2,0.473848,0.4397286,0.033138878,546,555,0.0162162162162162
"200",2025,2025,"GH","Pmu","cut","C","CON",4,"a",3,0.47908,0.4397286,0.033138878,546,555,0.0162162162162162
"201",2025,2025,"GH","Pmu","cut","C","CON",5,"b",1,0.4373493,0.4630441,0.058408019,593,665,0.108270676691729
"202",2025,2025,"GH","Pmu","cut","C","CON",5,"b",2,0.3912243,0.4630441,0.058408019,593,665,0.108270676691729
"203",2025,2025,"GH","Pmu","cut","C","CON",5,"b",3,0.4297296,0.4630441,0.058408019,593,665,0.108270676691729
"204",2025,2025,"GH","Pmu","cut","C","CON",6,"a",1,0.3317504,0.3424172,0.056257337,529,562,0.0587188612099644
"205",2025,2025,"GH","Pmu","cut","C","CON",6,"a",2,0.4191477,0.3424172,0.056257337,529,562,0.0587188612099644
"206",2025,2025,"GH","Pmu","cut","C","CON",6,"a",3,0.4037599,0.3424172,0.056257337,529,562,0.0587188612099644
"207",2025,2025,"GH","Pmu","cut","C","CON",6,"b",1,0.3987956,0.4090628,0.022258901,521,551,0.0544464609800363
"208",2025,2025,"GH","Pmu","cut","C","CON",6,"b",2,0.4301586,0.4090628,0.022258901,521,551,0.0544464609800363
"209",2025,2025,"GH","Pmu","cut","C","CON",6,"b",3,0.3935291,0.4090628,0.022258901,521,551,0.0544464609800363
"210",2025,2025,"GH","Pmu","cut","C","UV",4,"a",1,0.4645528,0.461526,0.01188267,579,582,0.00515463917525773
"211",2025,2025,"GH","Pmu","cut","C","UV",4,"a",2,0.4565006,0.461526,0.01188267,579,582,0.00515463917525773
