"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio","PLS _SD"
"60","2025","2025","GH","Pmu","cut","D","UV"," 1",0.42643715,0.4156083,0.057117269,545,555,0.018018018018018,0.00570189695145397
"61","2025","2025","GH","Pmu","cut","D","UV"," 2",0.41824015,0.4124242,0.0148910515,570.5,632,0.0957618059485632,0.017028185993552
"62","2025","2025","GH","Pmu","cut","D","UV"," 3",0.333562233333333,0.3533405,0.0388014325,591.5,614,0.0378086666028321,0.023292383301128
"63","2025","2025","GH","Pmu","cut","D","UV"," 4",0.434239616666667,0.4399483,0.0204883815,583,585.5,0.00427825427387829,0.00597930830829676
"64","2025","2025","GH","Pmu","cut","D","UV"," 5",0.448816566666667,0.4411757,0.024431693,624,633,0.014218009478673,0.0129962306505899
"65","2025","2025","GH","Pmu","cut","D","UV"," 6",0.389213966666667,0.3774199,0.023665162,511,584.5,0.132914689711198,0.0415359033544555
"66","2025","2025","GH","Pmu","cut","E","CON"," 1",0.513232,0.5092574,0.025967253,625,626,0.00159744408945687,0.00674082267086147
"67","2025","2025","GH","Pmu","cut","E","CON"," 2",0.37735635,0.40166795,0.016986331,567.5,583.5,0.0279006499808829,0.00709733516405981
"68","2025","2025","GH","Pmu","cut","E","CON"," 3",0.303059966666667,0.2847816,0.019163833,544,568,0.0422535211267606,0.00907018132913194
"69","2025","2025","GH","Pmu","cut","E","CON"," 4",0.3820455,0.4258174,0.02723422,519,625,0.1696,0
"70","2025","2025","GH","Pmu","cut","E","CON"," 6",0.423159033333333,0.4010199,0.010937885,598,608.5,0.0177712879586815,0.0293293140902863
"71","2025","2025","GH","Pmu","cut","E","UV"," 1",0.4074825,0.4475725,0.03985694,679,691,0.0173661360347323,0.0332118155628385
"72","2025","2025","GH","Pmu","cut","E","UV"," 2",0.439384033333333,0.40570365,0.0475906445,684.5,693,0.0121946564885496,0.0151035533278321
"73","2025","2025","GH","Pmu","cut","E","UV"," 3",0.376973516666667,0.3286569,0.035121068,568.5,604.5,0.0578100315955766,0.0321143631782053
"74","2025","2025","GH","Pmu","cut","E","UV"," 4",0.424097333333333,0.463085,0.030177228,510.5,609,0.160744359278851,0.0371890532318136
"75","2025","2025","GH","Pmu","cut","E","UV"," 6",0.4350307,0.3838629,0.02939678,603,631,0.0443740095087163,0.0357389594698838
"76","2025","2025","GH","Pmu","cut","F","CON"," 2",0.4164375,0.43834078,0.0422054702,627.8,639.2,0.0180484545665815,0.0144100858602577
"77","2025","2025","GH","Pmu","cut","F","CON"," 3",0.34598408,0.34208618,0.0247309708,587,597,0.0169053862075052,0.0375680310034609
"78","2025","2025","GH","Pmu","cut","F","CON"," 4",0.461877716666667,0.49151665,0.0416614235,612.5,617.5,0.0079409969588231,0.0236199648590269
"79","2025","2025","GH","Pmu","cut","F","CON"," 5",0.45054605,0.43036735,0.0222352555,567,585,0.0302814674256799,0.0166299783842012
"80","2025","2025","GH","Pmu","cut","F","CON"," 6",0.4342183,0.3978591,0.033628514,590,600,0.0166666666666667,0.0121356636806563
"81","2025","2025","GH","Pmu","cut","F","UV"," 1",0.412093883333333,0.46452355,0.0339074095,569.5,584,0.0245590923360844,0.0223621184718637
"82","2025","2025","GH","Pmu","cut","F","UV"," 2",0.399240433333333,0.4205521,0.0105483935,616,620,0.0063977978462395,0.00569536592175311
"83","2025","2025","GH","Pmu","cut","F","UV"," 3",0.3570606,0.3407546,0.01680068,510,612,0.166666666666667,0.0060159054239574
"84","2025","2025","GH","Pmu","cut","F","UV"," 4",0.403383466666667,0.3964778,0.033087631,636,648,0.0185185185185185,0.0292212903925089
"85","2025","2025","GH","Pmu","cut","F","UV"," 6",0.402401283333333,0.37940705,0.0092903845,570.5,600,0.0489131189665949,0.0517545329380303
