"","calibrated","sd","Frame","Treatment","TreeNumber","sampling_number"
"50",0.415608333333333,"0.0571172689524222","D","UV","1","b"
"51",0.396025866666667,"0.0114565058444245","D","UV","2","a"
"52",0.428822533333333,"0.0183255968798654","D","UV","2","b"
"53",0.352890166666667,"0.0548035431732596","D","UV","3","a"
"54",0.3537908,"0.0227993218875036","D","UV","3","b"
"55",0.441060766666667,"0.0171830439775185","D","UV","4","a"
"56",0.4388358,"0.0237937186105913","D","UV","4","b"
"57",0.441175733333333,"0.0244316925865429","D","UV","5","a"
"58",0.3930418,"0.0191138030292247","D","UV","6","a"
"59",0.361798,"0.0282165213440637","D","UV","6","b"
"60",0.431687,"0.0394872410230191","D","CON","1","a"
"61",0.451226933333333,"0.0134105572685602","D","CON","2","b"
"62",0.3838187,"0.0903383156063362","D","CON","3","a"
"63",0.299314566666667,"0.0171268025344293","D","CON","3","b"
"64",0.510927566666667,"0.112825156082601","D","CON","4","a"
"65",0.446977366666667,"0.00551001995852405","D","CON","4","b"
"66",NA,NA,"D","CON","5","a"
"67",0.384046233333333,"0.037976806071645","D","CON","5","b"
"68",0.407258366666667,"0.0232407531453551","D","CON","6","a"
"69",0.379168933333333,"0.0426337003773228","D","CON","6","b"
"70",0.4475725,"0.039856940454079","E","UV","1","b"
"71",0.398939066666667,"0.0541474326187617","E","UV","2","a"
"72",0.412468233333333,"0.0410338564444452","E","UV","2","b"
"73",0.304356366666667,"0.0382391863860011","E","UV","3","a"
"74",0.3529574,"0.03200294967171","E","UV","3","b"
"75",0.4251376,"0.0241032901430489","E","UV","4","a"
"76",0.5010324,"0.0362511662627563","E","UV","4","b"
"77",0.369047266666667,"0.0314694973308017","E","UV","5","a"
"78",0.383862866666667,"0.0293967796401805","E","UV","6","b"
"79",0.509257366666667,"0.0259672531501376","E","CON","1","b"
"80",0.3912577,"0.0269570677923249","E","CON","2","a"
"81",0.4120782,"0.0070155940275931","E","CON","2","b"
"82",0.284781566666667,"0.0191638331367535","E","CON","3","b"
"83",0.425817366666667,"0.0272342197414086","E","CON","4","a"
"84",0.3846352,"0.0033581463994293","E","CON","6","a"
"85",0.417404566666667,"0.0185176238514377","E","CON","6","b"
"86",0.438351166666667,"0.0277279266697554","F","UV","1","a"
"87",0.490695933333333,"0.0400868924718958","F","UV","1","b"
"88",0.4187472,"0.0171018551242255","F","UV","2","a"
"89",0.422356966666667,"0.00399493186717037","F","UV","2","b"
"90",0.340754633333333,"0.016800680248232","F","UV","3","a"
"91",0.396477833333333,"0.0330876309471279","F","UV","4","b"
"92",0.356888433333333,"0.00647776355259539","F","UV","6","a"
"93",0.401925733333333,"0.0121030045469434","F","UV","6","b"
"94",0.5204948,"0.0258114395237848","F","CON","1","a"
"95",0.453702,"0.0291530009522176","F","CON","1","b"
"96",0.4432867,"0.0239436352546977","F","CON","2","a"
"97",0.435043533333333,"0.0543800270459967","F","CON","2","b"
"98",0.343454566666667,"0.0203871161472959","F","CON","3","a"
"99",0.34117385,"0.0276268740729928","F","CON","3","b"
"100",0.51152095,"0.0389584016628634","F","CON","4","a"
"101",0.4715124,"0.0443644451370689","F","CON","4","b"
"102",0.4281772,"0.022145594437269","F","CON","5","a"
"103",0.4325575,"0.0223249167169779","F","CON","5","b"
"104",0.39785915,"0.0336285135889917","F","CON","6","a"
"105",0.42993255,"0.0193089028551598","A","UV","1","a"
"106",0.38119585,"0.028657411495894","A","UV","3","a"
"107",0.51953105,"0.00277928320345377","A","UV","5","b"
"108",0.35026465,"0.0268414198604507","B","CON","3","b"
"109",0.5745006,"0.0325713221561545","A","CON"," 9",NA
"110",0.579051533333333,"0.0185195331113755","A","UV"," 1",NA
"111",0.6230438,"0.0328420937085321","B","UV","13",NA
"112",0.660505266666667,"0.0729414458906823","B","UV","14",NA
"113",0.637571533333333,"0.0246306076436074","B","UV","15",NA
"114",0.615465833333333,"0.0255173399288275","B","CON","16",NA
"115",0.6280044,"0.00585326355377919","B","CON","18",NA
"116",0.7028711,"0.0357326629613579","B","CON","19",NA
"117",0.6184151,"0.0243367948294347","B","CON","20",NA
